Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;Comunidad de Madrid;580703;589165;597127;
Zonas Estadísticas;01;Municipio de Madrid ;Municipio de Madrid ;263435;263776;265700;
Zonas Estadísticas;02;Norte Metropolitano ;Norte Metropolitano ;31672;32365;33132;
Zonas Estadísticas;03;Este Metropolitano  ;Este Metropolitano  ;60485;62835;63880;
Zonas Estadísticas;04;Sur Metropolitano   ;Sur Metropolitano   ;120941;124366;127502;
Zonas Estadísticas;05;Oeste Metropolitano ;Oeste Metropolitano ;46189;46378;46165;
Zonas Estadísticas;06;Sierra Norte        ;Sierra Norte        ;4379;4469;4554;
Zonas Estadísticas;07;Nordeste Comunidad  ;Nordeste Comunidad  ;7147;7244;7376;
Zonas Estadísticas;08;Sudeste Comunidad   ;Sudeste Comunidad   ;10134;10491;10831;
Zonas Estadísticas;09;Sudoeste Comunidad  ;Sudoeste Comunidad  ;14765;15550;16395;
Zonas Estadísticas;10;Sierra Sur          ;Sierra Sur          ;3169;3301;3399;
Zonas Estadísticas;11;Sierra Central      ;Sierra Central      ;18387;18390;18193;
Municipios;0014;Acebeda (La);Acebeda (La);4;4;3;
Municipios;0029;Ajalvir;Ajalvir;576;588;579;
Municipios;0035;Alameda del Valle;Alameda del Valle;17;16;26;
Municipios;0040;Alamo (El);Alamo (El);868;868;913;
Municipios;0053;Alcalá de Henares;Alcalá de Henares;17716;17859;17758;
Municipios;0066;Alcobendas;Alcobendas;10631;10758;11030;
Municipios;0072;Alcorcón;Alcorcón;16726;16838;16690;
Municipios;0088;Aldea del Fresno;Aldea del Fresno;257;291;319;
Municipios;0091;Algete;Algete;1886;1854;1837;
Municipios;0105;Alpedrete;Alpedrete;1667;1621;1580;
Municipios;0112;Ambite;Ambite;69;63;67;
Municipios;0127;Anchuelo;Anchuelo;128;131;135;
Municipios;0133;Aranjuez;Aranjuez;5245;5370;5557;
Municipios;0148;Arganda del Rey;Arganda del Rey;5283;5534;5742;
Municipios;0151;Arroyomolinos;Arroyomolinos;3645;4096;4492;
Municipios;0164;Atazar (El);Atazar (El);9;9;6;
Municipios;0170;Batres;Batres;202;180;181;
Municipios;0186;Becerril de la Sierra;Becerril de la Sierra;621;639;649;
Municipios;0199;Belmonte de Tajo;Belmonte de Tajo;148;138;143;
Municipios;0210;Berrueco (El);Berrueco (El);69;75;78;
Municipios;0203;Berzosa del Lozoya;Berzosa del Lozoya;11;15;14;
Municipios;0225;Boadilla del Monte;Boadilla del Monte;6704;6791;6627;
Municipios;0231;Boalo (El);Boalo (El);966;985;964;
Municipios;0246;Braojos;Braojos;15;13;11;
Municipios;0259;Brea de Tajo;Brea de Tajo;33;40;41;
Municipios;0262;Brunete;Brunete;1033;1061;1102;
Municipios;0278;Buitrago del Lozoya;Buitrago del Lozoya;166;167;179;
Municipios;0284;Bustarviejo;Bustarviejo;289;308;317;
Municipios;0297;Cabanillas de la Sierra;Cabanillas de la Sierra;85;85;95;
Municipios;0301;Cabrera (La);Cabrera (La);251;268;282;
Municipios;0318;Cadalso de los Vidrios;Cadalso de los Vidrios;254;259;264;
Municipios;0323;Camarma de Esteruelas;Camarma de Esteruelas;835;872;890;
Municipios;0339;Campo Real;Campo Real;573;605;643;
Municipios;0344;Canencia;Canencia;30;25;25;
Municipios;0357;Carabaña;Carabaña;199;210;211;
Municipios;0360;Casarrubuelos;Casarrubuelos;416;447;466;
Municipios;0376;Cenicientos;Cenicientos;136;145;144;
Municipios;0382;Cercedilla;Cercedilla;649;646;636;
Municipios;0395;Cervera de Buitrago;Cervera de Buitrago;19;18;17;
Municipios;0513;Chapinería;Chapinería;214;228;234;
Municipios;0528;Chinchón;Chinchón;410;429;433;
Municipios;0409;Ciempozuelos;Ciempozuelos;2315;2383;2462;
Municipios;0416;Cobeña;Cobeña;769;787;814;
Municipios;0468;Collado Mediano;Collado Mediano;735;727;724;
Municipios;0474;Collado Villalba;Collado Villalba;5658;5699;5713;
Municipios;0455;Colmenar Viejo;Colmenar Viejo;4463;4620;4807;
Municipios;0437;Colmenar de Oreja;Colmenar de Oreja;737;765;819;
Municipios;0421;Colmenar del Arroyo;Colmenar del Arroyo;168;169;163;
Municipios;0442;Colmenarejo;Colmenarejo;950;949;944;
Municipios;0480;Corpa;Corpa;58;72;83;
Municipios;0493;Coslada;Coslada;6686;6948;6984;
Municipios;0506;Cubas de la Sagra;Cubas de la Sagra;702;754;800;
Municipios;0534;Daganzo de Arriba;Daganzo de Arriba;1338;1294;1226;
Municipios;0549;Escorial (El);Escorial (El);1460;1412;1390;
Municipios;0552;Estremera;Estremera;110;115;118;
Municipios;0565;Fresnedillas de la Oliva;Fresnedillas de la Oliva;132;150;153;
Municipios;0571;Fresno de Torote;Fresno de Torote;282;273;260;
Municipios;0587;Fuenlabrada;Fuenlabrada;15994;15682;15603;
Municipios;0590;Fuente el Saz de Jarama;Fuente el Saz de Jarama;659;656;657;
Municipios;0604;Fuentidueña de Tajo;Fuentidueña de Tajo;191;197;193;
Municipios;0611;Galapagar;Galapagar;3037;3034;3046;
Municipios;0626;Garganta de los Montes;Garganta de los Montes;41;38;46;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Gargantilla del Lozoya y Pinilla de Buitrago;40;48;42;
Municipios;0647;Gascones;Gascones;14;16;21;
Municipios;0650;Getafe;Getafe;17326;17528;17731;
Municipios;0663;Griñón;Griñón;965;965;1000;
Municipios;0679;Guadalix de la Sierra;Guadalix de la Sierra;677;663;653;
Municipios;0685;Guadarrama;Guadarrama;1509;1561;1524;
Municipios;0698;Hiruela (La);Hiruela (La);6;7;4;
Municipios;0702;Horcajo de la Sierra-Aoslos;Horcajo de la Sierra-Aoslos;17;17;25;
Municipios;0719;Horcajuelo de la Sierra;Horcajuelo de la Sierra;11;10;7;
Municipios;0724;Hoyo de Manzanares;Hoyo de Manzanares;734;765;768;
Municipios;0730;Humanes de Madrid;Humanes de Madrid;1854;2003;2171;
Municipios;0745;Leganés;Leganés;16863;17496;18027;
Municipios;0758;Loeches;Loeches;1025;1050;1085;
Municipios;0761;Lozoya;Lozoya;60;53;46;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Lozoyuela-Navas-Sieteiglesias;149;164;169;
Municipios;0783;Madarcos;Madarcos;4;6;7;
Municipios;0796;Madrid;Madrid;263435;263776;265700;
Municipios;0800;Majadahonda;Majadahonda;6192;6181;6183;
Municipios;0822;Manzanares el Real;Manzanares el Real;1032;1043;1099;
Municipios;0838;Meco;Meco;1553;1561;1587;
Municipios;0843;Mejorada del Campo;Mejorada del Campo;1969;2130;2216;
Municipios;0856;Miraflores de la Sierra;Miraflores de la Sierra;603;653;690;
Municipios;0869;Molar (El);Molar (El);896;921;992;
Municipios;0875;Molinos (Los);Molinos (Los);345;331;345;
Municipios;0881;Montejo de la Sierra;Montejo de la Sierra;33;30;32;
Municipios;0894;Moraleja de Enmedio;Moraleja de Enmedio;473;476;481;
Municipios;0908;Moralzarzal;Moralzarzal;1573;1565;1489;
Municipios;0915;Morata de Tajuña;Morata de Tajuña;705;717;720;
Municipios;0920;Móstoles;Móstoles;16253;17239;18193;
Municipios;0936;Navacerrada;Navacerrada;317;308;320;
Municipios;0941;Navalafuente;Navalafuente;147;154;159;
Municipios;0954;Navalagamella;Navalagamella;255;293;290;
Municipios;0967;Navalcarnero;Navalcarnero;2792;2996;3161;
Municipios;0973;Navarredonda y San Mamés;Navarredonda y San Mamés;4;7;4;
Municipios;0992;Navas del Rey;Navas del Rey;257;269;287;
Municipios;1006;Nuevo Baztán;Nuevo Baztán;613;617;626;
Municipios;1013;Olmeda de las Fuentes;Olmeda de las Fuentes;51;53;65;
Municipios;1028;Orusco de Tajuña;Orusco de Tajuña;130;125;125;
